"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","","YKR104W","","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","TreeFam"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","STE6","YKL209C","STErile","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","TreeFam"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED ","177850","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","","YKR104W","","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","TreeFam"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","STE6","YKL209C","STErile","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","TreeFam"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"PSEUDOXANTHOMA ELASTICUM; PXE ","264800","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","","YKR104W","","Panther"
"INOSINE TRIPHOSPHATASE DEFICIENCY ","613850","ITPA","inosine triphosphatase (nucleoside triphosphate pyrophosphatase)","3704","147520","HAM1","YJR069C","6-n-HydroxylAMinopurine sensitive","Ensembl"
"INOSINE TRIPHOSPHATASE DEFICIENCY ","613850","ITPA","inosine triphosphatase (nucleoside triphosphate pyrophosphatase)","3704","147520","HAM1","YJR069C","6-n-HydroxylAMinopurine sensitive","Panther"
"INOSINE TRIPHOSPHATASE DEFICIENCY ","613850","ITPA","inosine triphosphatase (nucleoside triphosphate pyrophosphatase)","3704","147520","HAM1","YJR069C","6-n-HydroxylAMinopurine sensitive","TreeFam"
"ISOVALERIC ACIDEMIA; IVA ","243500","IVD","isovaleryl-CoA dehydrogenase","3712","607036","AIM45","YPR004C","Altered Inheritance rate of Mitochondria","Panther"
"ISOVALERIC ACIDEMIA; IVA ","243500","IVD","isovaleryl-CoA dehydrogenase","3712","607036","POX1","YGL205W","","Panther"
"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 12; ARVD12 ","611528","JUP","junction plakoglobin","3728","173325","VAC8","YEL013W","VACuole related","Ensembl"
"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 12; ARVD12 ","611528","JUP","junction plakoglobin","3728","173325","VAC8","YEL013W","VACuole related","Panther"
"NAXOS DISEASE ","601214","JUP","junction plakoglobin","3728","173325","VAC8","YEL013W","VACuole related","Ensembl"
"NAXOS DISEASE ","601214","JUP","junction plakoglobin","3728","173325","VAC8","YEL013W","VACuole related","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B; CMTRIB ","613641","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","Ensembl"
"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B; CMTRIB ","613641","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","HomoloGene"
"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B; CMTRIB ","613641","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B; CMTRIB ","613641","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","TreeFam"
"CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B; CMTRIB ","613641","KARS","lysyl-tRNA synthetase","3735","601421","MSK1","YNL073W","Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)","Panther"
"DEAFNESS, AUTOSOMAL RECESSIVE 89; DFNB89 ","613916","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","Ensembl"
"DEAFNESS, AUTOSOMAL RECESSIVE 89; DFNB89 ","613916","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","HomoloGene"
"DEAFNESS, AUTOSOMAL RECESSIVE 89; DFNB89 ","613916","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","Panther"
"DEAFNESS, AUTOSOMAL RECESSIVE 89; DFNB89 ","613916","KARS","lysyl-tRNA synthetase","3735","601421","KRS1","YDR037W","Lysyl (K) tRNA Synthetase","TreeFam"
"DEAFNESS, AUTOSOMAL RECESSIVE 89; DFNB89 ","613916","KARS","lysyl-tRNA synthetase","3735","601421","MSK1","YNL073W","Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)","Panther"
"RETINITIS PIGMENTOSA 26; RP26 ","608380","CERKL","ceramide kinase-like","375298","608381","TIM54","YJL054W","Translocase of the Inner Mitochondrial membrane","Panther"
"DEAFNESS, AUTOSOMAL RECESSIVE 61; DFNB61 ","613865","SLC26A5","solute carrier family 26 (anion exchanger), member 5","375611","604943","","YPR003C","","Panther"
"DEAFNESS, AUTOSOMAL RECESSIVE 61; DFNB61 ","613865","SLC26A5","solute carrier family 26 (anion exchanger), member 5","375611","604943","","YPR003C","","TreeFam"
"PULMONARY HYPERTENSION, PRIMARY, 4; PPH4 ","615344","KCNK3","potassium channel, subfamily K, member 3","3777","603220","TOK1","YJL093C","","TreeFam"
"SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10 ","604187","KIF5A","kinesin family member 5A","3798","602821","SMY1","YKL079W","Suppressor of MYo2-66","Panther"
"ALPHA-METHYLACETOACETIC ACIDURIA ","203750","ACAT1","acetyl-CoA acetyltransferase 1","38","607809","ERG10","YPL028W","ERGosterol biosynthesis","Ensembl"
"ALPHA-METHYLACETOACETIC ACIDURIA ","203750","ACAT1","acetyl-CoA acetyltransferase 1","38","607809","ERG10","YPL028W","ERGosterol biosynthesis","TreeFam"
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 2; CDCBM2 ","615282","KIF5C","kinesin family member 5C","3800","604593","SMY1","YKL079W","Suppressor of MYo2-66","Panther"
"ARGININEMIA ","207800","ARG1","arginase 1","383","608313","CAR1","YPL111W","Catabolism of ARginine","Ensembl"
"ARGININEMIA ","207800","ARG1","arginase 1","383","608313","CAR1","YPL111W","Catabolism of ARginine","HomoloGene"
"ARGININEMIA ","207800","ARG1","arginase 1","383","608313","CAR1","YPL111W","Catabolism of ARginine","Panther"
"ARGININEMIA ","207800","ARG1","arginase 1","383","608313","CAR1","YPL111W","Catabolism of ARginine","TreeFam"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","CIN8","YEL061C","Chromosome INstability","Ensembl"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","CIN8","YEL061C","Chromosome INstability","Panther"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","KIP1","YBL063W","KInesin related Protein","Ensembl"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","KIP1","YBL063W","KInesin related Protein","HomoloGene"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","KIP1","YBL063W","KInesin related Protein","Panther"
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR ","152950","KIF11","kinesin family member 11","3832","148760","KIP1","YBL063W","KInesin related Protein","TreeFam"
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY TYPE 2; SEMDJL2 ","603546","KIF22","kinesin family member 22","3835","603213","KIP3","YGL216W","KInesin related Protein","Ensembl"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"BLADDER CANCER ","109800","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"BREAST CANCER ","114480","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2 ","615278","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC ","137215","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"NOONAN SYNDROME 3; NS3 ","609942","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"PANCREATIC CANCER ","260350","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","Ensembl"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","HomoloGene"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS1","YOR101W","homologous to RAS proto-oncogene","TreeFam"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","Ensembl"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","HomoloGene"
"SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM ","163200","KRAS","Kirsten rat sarcoma viral oncogene homolog","3845","190070","RAS2","YNL098C","homologous to RAS proto-oncogene","TreeFam"
"EPIDERMOLYTIC HYPERKERATOSIS; EHK ","113800","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"ICHTHYOSIS, CYCLIC, WITH EPIDERMOLYTIC HYPERKERATOSIS ","607602","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"ICHTHYOSIS HYSTRIX, CURTH-MACKLIN TYPE; IHCM ","146590","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"KERATOSIS PALMOPLANTARIS STRIATA III; PPKS3 ","607654","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC; EPPK ","144200","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC; NEPPK ","600962","KRT1","keratin 1","3848","139350","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"ICHTHYOSIS, BULLOUS TYPE ","146800","KRT2","keratin 2","3849","600194","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"CORNEAL DYSTROPHY, MEESMANN; MECD ","122100","KRT3","keratin 3","3850","148043","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"WHITE SPONGE NEVUS; WSN ","193900","KRT4","keratin 4","3851","123940","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"DOWLING-DEGOS DISEASE 1; DDD1 ","179850","KRT5","keratin 5","3852","148040","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE 1; EBSB1 ","601001","KRT5","keratin 5","3852","148040","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
"EPIDERMOLYSIS BULLOSA SIMPLEX, DOWLING-MEARA TYPE ","131760","KRT5","keratin 5","3852","148040","DEP1","YAL013W","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","Panther"
